;m;m_unit;v;v_unit;p;p_unit;h;h_unit;T;T_unit;Td_bp;Td_bp_unit;vol;vol_unit;x;x_unit;s;s_unit;Air;R32;GKN[0.6]
Estado inicial;0.037;kg / s;0.004651717142465062;m3 / s;291218.1298027622;Pa;510.3381774673266;kJ / kg;-24.99999984064948;C;3.463135010078048;C;0.12572208493148818;m3 / kg;-1.0;-;2280.7482132659766;J / kgK;nan;1.0;nan
Pós compressão;0.037;kg / s;0.001277199602507572;m3 / s;1484662.246644923;Pa;592.1406413538023;kJ / kg;83.06563633653957;C;62.81899848904919;C;0.034518908175880325;m3 / kg;-1.0;-;2315.7512720257737;J / kgK;nan;1.0;nan
Válvula segurança;0.037;kg / s;0.001277221708553964;m3 / s;1484637.4080794547;Pa;592.1406413538023;kJ / kg;83.06529305091374;C;62.819260411757455;C;0.034519505636593624;m3 / kg;-1.0;-;2315.7536790172308;J / kgK;nan;1.0;nan
Saída válvula 3 vias;0.037;kg / s;0.0012862439642757147;m3 / s;1474569.1059021454;Pa;592.1406413538023;kJ / kg;82.92604472102704;C;62.925963814920976;C;0.03476335038583013;m3 / kg;-1.0;-;2316.7329907669896;J / kgK;nan;1.0;nan
Válvula agulha 1;0.037;kg / s;0.0012862469442064153;m3 / s;1474565.8031244422;Pa;592.1406413538023;kJ / kg;82.9259990103975;C;62.92599899291628;C;0.03476343092449771;m3 / kg;-1.0;-;2316.733313214288;J / kgK;nan;1.0;nan
Pós arrefecimento;0.037;kg / s;3.770187007188916e-05;m3 / s;1474565.8031244422;Pa;236.1206119684902;kJ / kg;20.000000017481227;C;0.0;C;0.0010189694614024098;m3 / kg;0.0;-;1125.2739707343706;J / kgK;nan;1.0;nan
Cycle Closer;0.037;kg / s;3.770187007188916e-05;m3 / s;1474565.8031244422;Pa;236.1206119684902;kJ / kg;20.000000017481227;C;0.0;C;0.0010189694614024098;m3 / kg;0.0;-;1125.2739707343706;J / kgK;nan;1.0;nan
Válvula agulha 2;0.037;kg / s;3.7701883863774614e-05;m3 / s;1474565.7033313622;Pa;236.1206119684902;kJ / kg;19.999997573437838;C;0.0;C;0.0010189698341560706;m3 / kg;1.632169652572745e-08;-;1125.2739710812448;J / kgK;nan;1.0;nan
Pós expansão inicial;0.037;kg / s;0.00034981226518140387;m3 / s;636212.6262621174;Pa;236.1206119684902;kJ / kg;-7.437252809051358;C;0.0;C;0.009454385545443348;m3 / kg;0.15;-;1137.2205058552127;J / kgK;nan;1.0;nan
Pós expansão final;0.037;kg / s;0.0009696080751456301;m3 / s;321565.0738053714;Pa;236.1206119684902;kJ / kg;-25.99999999999102;C;0.0;C;0.0262056236525846;m3 / kg;0.2277087404937052;-;1156.705365306319;J / kgK;nan;1.0;nan
Saída permutador ar;0.037;kg / s;0.004207617343225512;m3 / s;321565.0738053714;Pa;510.3381774673266;kJ / kg;-23.533844695469156;C;2.4661553045218625;C;0.11371938765474356;m3 / kg;-1.0;-;2266.1739426082986;J / kgK;nan;1.0;nan
Saída válvula 3 vias / Entrada no filtro;0.037;kg / s;0.004344409642617711;m3 / s;311565.0738053714;Pa;510.3381774673266;kJ / kg;-24.012649469820786;C;2.7783128154172516;C;0.11741647682750572;m3 / kg;-1.0;-;2270.8074518949275;J / kgK;nan;1.0;nan
Água;0.6056656971747604;kg / s;0.0005512218118160962;m3 / s;400000.0;Pa;-46.598267783680626;kJ / kg;5.0;C;0.0;C;0.0009101090162235905;m3 / kg;nan;-;-164.11105160370062;J / kgK;nan;nan;1.0
Água aquecida;0.6056656971747604;kg / s;0.0005533226194587689;m3 / s;400000.0;Pa;-24.849073221889796;kJ / kg;12.0;C;0.0;C;0.0009135776089678589;m3 / kg;nan;-;-86.88775508906656;J / kgK;nan;nan;1.0
Ambiente antes;1.9767195389040289;kg / s;1.4444444444518787;m3 / s;101325.0;Pa;384.20316340977877;kJ / kg;-14.999999998676856;C;179.24704281718857;C;0.7307280653747853;m3 / kg;-1.0;-;3735.595874589099;J / kgK;1.0;nan;nan
Ambiente depois;1.9767195389040289;kg / s;1.4157610555456337;m3 / s;101325.0;Pa;379.0703918031996;kJ / kg;-20.10449908960254;C;174.1425437262629;C;0.7162174641783464;m3 / kg;-1.0;-;3715.5137645671693;J / kgK;1.0;nan;nan
